date,time,age,confirmed
2020-04-13,0,60s,1335
2020-04-13,0,70s,698
2020-04-13,0,80s,476
2020-04-14,0,0s,132
2020-04-14,0,10s,565
2020-04-14,0,20s,2886
2020-04-14,0,30s,1126
2020-04-14,0,40s,1405
2020-04-14,0,50s,1935
2020-04-14,0,60s,1338
2020-04-14,0,70s,700
2020-04-14,0,80s,477
2020-04-15,0,0s,132
2020-04-15,0,10s,569
2020-04-15,0,20s,2895
2020-04-15,0,30s,1131
2020-04-15,0,40s,1408
2020-04-15,0,50s,1937
2020-04-15,0,60s,1339
2020-04-15,0,70s,702
2020-04-15,0,80s,478
2020-04-16,0,0s,135
2020-04-16,0,10s,572
2020-04-16,0,20s,2900
2020-04-16,0,30s,1132
2020-04-16,0,40s,1410
2020-04-16,0,50s,1940
2020-04-16,0,60s,1341
2020-04-16,0,70s,703
2020-04-16,0,80s,480
2020-04-17,0,0s,136
2020-04-17,0,10s,576
2020-04-17,0,20s,2909
2020-04-17,0,30s,1135
2020-04-17,0,40s,1411
2020-04-17,0,50s,1942
2020-04-17,0,60s,1342
2020-04-17,0,70s,704
2020-04-17,0,80s,480
2020-04-18,0,0s,138
2020-04-18,0,10s,576
2020-04-18,0,20s,2918
2020-04-18,0,30s,1136
2020-04-18,0,40s,1412
2020-04-18,0,50s,1944
2020-04-18,0,60s,1343
2020-04-18,0,70s,705
2020-04-18,0,80s,481
2020-04-19,0,0s,138
2020-04-19,0,10s,578
2020-04-19,0,20s,2921
2020-04-19,0,30s,1137
2020-04-19,0,40s,1412
2020-04-19,0,50s,1945
2020-04-19,0,60s,1343
2020-04-19,0,70s,705
2020-04-19,0,80s,482
2020-04-20,0,0s,138
2020-04-20,0,10s,581
2020-04-20,0,20s,2926
2020-04-20,0,30s,1139
2020-04-20,0,40s,1412
2020-04-20,0,50s,1948
2020-04-20,0,60s,1343
2020-04-20,0,70s,705
2020-04-20,0,80s,482
2020-04-21,0,0s,138
2020-04-21,0,10s,582
2020-04-21,0,20s,2928
2020-04-21,0,30s,1139
2020-04-21,0,40s,1413
2020-04-21,0,50s,1951
2020-04-21,0,60s,1343
2020-04-21,0,70s,706
2020-04-21,0,80s,483
2020-04-22,0,0s,138
2020-04-22,0,10s,583
2020-04-22,0,20s,2931
2020-04-22,0,30s,1140
2020-04-22,0,40s,1417
2020-04-22,0,50s,1951
2020-04-22,0,60s,1344
2020-04-22,0,70s,707
2020-04-22,0,80s,483
2020-04-23,0,0s,138
2020-04-23,0,10s,584
2020-04-23,0,20s,2933
2020-04-23,0,30s,1141
2020-04-23,0,40s,1418
2020-04-23,0,50s,1952
2020-04-23,0,60s,1344
2020-04-23,0,70s,708
2020-04-23,0,80s,484
2020-04-24,0,0s,138
2020-04-24,0,10s,585
2020-04-24,0,20s,2934
2020-04-24,0,30s,1142
2020-04-24,0,40s,1418
2020-04-24,0,50s,1953
2020-04-24,0,60s,1345
2020-04-24,0,70s,708
2020-04-24,0,80s,485
2020-04-25,0,0s,139
2020-04-25,0,10s,586
2020-04-25,0,20s,2937
2020-04-25,0,30s,1143
2020-04-25,0,40s,1420
2020-04-25,0,50s,1953
2020-04-25,0,60s,1347
2020-04-25,0,70s,708
2020-04-25,0,80s,485
2020-04-26,0,0s,140
2020-04-26,0,10s,586
2020-04-26,0,20s,2940
2020-04-26,0,30s,1147
2020-04-26,0,40s,1421
2020-04-26,0,50s,1953
2020-04-26,0,60s,1347
2020-04-26,0,70s,708
2020-04-26,0,80s,485
2020-04-27,0,0s,140
2020-04-27,0,10s,588
2020-04-27,0,20s,2943
2020-04-27,0,30s,1152
2020-04-27,0,40s,1422
2020-04-27,0,50s,1953
2020-04-27,0,60s,1347
2020-04-27,0,70s,708
2020-04-27,0,80s,485
